id,date,user,pc,activity
{T3H1-C9TW74TQ-5834QRFT},01-04-2010 09:52,CPW0003,PC-5362,Insert
{J3C2-C5YU31NM-6222QDYM},01-04-2010 09:57,CPW0003,PC-5362,Remove
{F7D5-V8KY12QO-9667KPHV},01-04-2010 10:56,CPW0003,PC-5362,Insert
{U8R0-F3WF77VN-5465FDCK},01-04-2010 11:50,CPW0003,PC-5362,Remove
{A1S2-O0NQ14ZC-0417VTQH},01-04-2010 11:50,CPW0003,PC-5362,Insert
{B5T1-I7EV04RE-9336QLQP},01-04-2010 12:42,CPW0003,PC-5362,Remove
{I8N9-V0RF59UU-0860VDDQ},01-04-2010 12:50,CPW0003,PC-5362,Insert
{J6X8-P3CJ53WE-0861RMUD},01-04-2010 13:00,CPW0003,PC-5362,Remove
{T5P2-O4ON20IY-8167TLVT},01-04-2010 14:35,CPW0003,PC-5362,Insert
{S5G3-R8KN49UT-7845LLAN},01-04-2010 15:16,CPW0003,PC-5362,Remove
{T7A9-Q8HO23MM-9211CVOS},01-04-2010 16:36,CPW0003,PC-5362,Insert
{M9S7-L6AU16OR-9234KENY},01-04-2010 17:01,CPW0003,PC-5362,Remove
{I9O9-F3VQ26JL-6942HHQL},01-04-2010 17:06,CPW0003,PC-5362,Insert
{W7T5-F2GS07PQ-9123NBFC},01-04-2010 17:06,CPW0003,PC-5362,Remove
{I5Z5-Z0UB90WW-9383BOZQ},01-04-2010 09:25,FEA0006,PC-7090,Insert
{B6B9-T2UO59MA-7672MWRW},01-04-2010 12:35,FEA0006,PC-7090,Remove
{F0L0-Y1IW42BZ-3646LIND},01-04-2010 12:44,FEA0006,PC-7090,Insert
{F0T1-C5HP18AA-4997YBKS},01-04-2010 13:53,FEA0006,PC-7090,Remove
{P1B0-C8EE33PT-3628DDEG},01-04-2010 15:10,FEA0006,PC-7090,Insert
{J0A4-D3DD27LH-3705LCIK},01-04-2010 15:13,FEA0006,PC-7090,Remove
{J6A5-X7BW67TU-0737DYVR},01-04-2010 15:14,FEA0006,PC-7090,Insert
{H8P1-I7QW56RJ-1933MBGS},01-04-2010 15:34,FEA0006,PC-7090,Remove
{R8G3-U8KD88XS-7049QJGJ},01-04-2010 08:39,DJW0011,PC-0263,Insert
{B7R1-X6ML08FA-0626OBNF},01-04-2010 08:44,DJW0011,PC-0263,Remove
{Y4I2-M1PS11DN-6922IWFH},01-04-2010 09:25,DJW0011,PC-0263,Insert
{N2D6-A6CT27CV-7890EHRP},01-04-2010 10:35,DJW0011,PC-0263,Remove
{F4O2-D9WQ69CV-8019MPZN},01-04-2010 10:54,DJW0011,PC-0263,Insert
{R8D5-H7PV42QK-8130JSVL},01-04-2010 11:12,DJW0011,PC-0263,Remove
{J9K2-E3FM27LG-8047AMJI},01-04-2010 11:21,DJW0011,PC-0263,Insert
{A8O9-Z0QB93LG-4156JGMF},01-04-2010 12:08,DJW0011,PC-0263,Remove
{L0W5-Z4PY90XD-8023JUCL},01-04-2010 12:10,DJW0011,PC-0263,Insert
{T4X7-B5DH01ZE-1170OWOL},01-04-2010 13:31,DJW0011,PC-0263,Remove
{D6F7-Y3XB78JA-0813WPTE},01-04-2010 16:41,DJW0011,PC-0263,Insert
{R6M1-J8SB79VK-9973EVGT},01-04-2010 17:00,DJW0011,PC-0263,Remove
{N9F6-H4DP86JH-3335XFJK},01-04-2010 17:36,DJW0011,PC-0263,Insert
{L8A6-O1DV87DY-6232ZDZP},01-04-2010 17:44,DJW0011,PC-0263,Remove
{E4Z3-N8KJ08LP-4296REHU},01-04-2010 18:27,DJW0011,PC-0263,Insert
{E0T6-Q1AP04BB-4774LQSS},01-04-2010 18:42,DJW0011,PC-0263,Remove
{L9T1-I6JV66XK-3989BPPT},01-04-2010 08:11,GDM0015,PC-5640,Insert
{V9W3-R5LX97RP-9033XYJX},01-04-2010 08:29,GDM0015,PC-5640,Remove
{Q7V9-U8PD69IC-5881PUVG},01-04-2010 08:54,GDM0015,PC-5640,Insert
{W2L3-G5IE88GQ-6129MDHQ},01-04-2010 09:41,GDM0015,PC-5640,Remove
{X3A8-K5JQ92QR-5200SMQD},01-04-2010 10:12,GDM0015,PC-5640,Insert
{B6Q1-W6JY15EP-9207PBFE},01-04-2010 10:23,GDM0015,PC-5640,Remove
{J8J3-B9JT39QQ-2612DMHF},01-04-2010 10:31,GDM0015,PC-5640,Insert
{E5L3-Y6XE77NF-8402ZSDU},01-04-2010 11:26,GDM0015,PC-5640,Remove
{H7M9-G9XA75HH-6979RJHF},01-04-2010 11:41,GDM0015,PC-5640,Insert
{G7P1-I2JW19DT-1754HMTM},01-04-2010 12:02,GDM0015,PC-5640,Remove
{P3O6-K7CB73FZ-1315JNTW},01-04-2010 12:04,GDM0015,PC-5640,Insert
{V5V6-M2AF08NA-5192UTWY},01-04-2010 12:05,GDM0015,PC-5640,Remove
{S5I6-M4IW98IX-1621WSFM},01-04-2010 12:55,GDM0015,PC-5640,Insert
{C8B1-N5NQ14NJ-7375ZTIA},01-04-2010 14:43,GDM0015,PC-5640,Remove
{P1Z2-C5NT68IU-9124EKAI},01-04-2010 15:07,GDM0015,PC-5640,Insert
{P9P0-R5LT57WJ-0569QSXL},01-04-2010 15:13,GDM0015,PC-5640,Remove
{S6P5-D1FR66WT-0055JUOU},01-04-2010 16:45,GDM0015,PC-5640,Insert
{P4T3-T1TN34TF-8112OSKQ},01-04-2010 17:02,GDM0015,PC-5640,Remove
{M0M1-B6ZZ39XQ-7801OUPN},01-04-2010 17:11,GDM0015,PC-5640,Insert
{X0N1-U4VW70UU-2584AKBM},01-04-2010 17:57,GDM0015,PC-5640,Remove
{E7L6-R4BA61QE-5238IBDN},01-04-2010 09:01,BBL0018,PC-1960,Insert
{L1V3-A3LZ74GZ-6494EWDE},01-04-2010 14:35,BBL0018,PC-1960,Remove
{N6P3-M8NQ08ZT-5001NVXV},01-04-2010 15:59,BBL0018,PC-1960,Insert
{K3L3-B6HF72KA-4012HXXH},01-04-2010 17:07,BBL0018,PC-1960,Remove
{I8W9-S8DQ25QR-8278QWBN},01-04-2010 17:15,BBL0018,PC-1960,Insert
{C9X2-L7DU91RV-0071JMQD},01-04-2010 17:20,BBL0018,PC-1960,Remove
{W0L7-P7TN00WK-8978RLWE},01-04-2010 07:17,DCW0021,PC-3621,Insert
{X4R7-Q7IB17MU-0005YWTJ},01-04-2010 07:27,DCW0021,PC-3621,Remove
{D5X8-H6FL76AR-0614SRYB},01-04-2010 08:01,DCW0021,PC-3621,Insert
{V2Z8-S4ZD50MT-9542GATI},01-04-2010 08:37,DCW0021,PC-3621,Remove
{E2Y1-U9BP70ZS-6543FHFX},01-04-2010 08:45,DCW0021,PC-3621,Insert
{U1N2-X4ZY66LP-3432YKTL},01-04-2010 08:57,DCW0021,PC-3621,Remove
{N3Q8-V5XY96NH-6985ZKNQ},01-04-2010 10:13,DCW0021,PC-3621,Insert
{I6D9-S8EW90ID-9316XRVR},01-04-2010 10:15,DCW0021,PC-3621,Remove
