id,date,user,pc,activity
{Q9W7-Z6TD90VH-9722UOQW},01-04-2010 08:47,DBT0001,PC-8395,Logon
{M0G5-U3UB28KR-1843ZWNN},01-04-2010 11:49,DBT0001,PC-8660,Logon
{M7T7-A6VZ99JN-1013WISU},01-04-2010 12:44,DBT0001,PC-8660,Logoff
{J3H6-C7LN75YJ-4291TUHK},01-04-2010 13:22,DBT0001,PC-8395,Logon
{W9Q2-T1IC68GM-6231DJFO},01-04-2010 15:45,DBT0001,PC-8395,Logoff
{R0W7-A4XB12OQ-7816IWPI},01-04-2010 08:06,ERC0002,PC-9893,Logon
{V4S0-Q8OU71NP-5901WZOD},01-04-2010 18:08,ERC0002,PC-9893,Logoff
{X8U0-E4TX69DL-9633DNZG},01-04-2010 09:38,CPW0003,PC-5362,Logon
{W2S7-J8SP26WB-7597USKK},01-04-2010 17:23,CPW0003,PC-5362,Logoff
{D2I3-P9QJ38YM-7867SNIC},01-04-2010 08:06,ORW0004,PC-9347,Logon
{D9P4-L9KM04JY-6752QULW},01-04-2010 16:53,ORW0004,PC-9347,Logoff
{X8D1-R0BU23WC-5568VAUT},01-04-2010 07:53,XDB0005,PC-7966,Logon
{V3V2-A6US39OW-9358WCEY},01-04-2010 16:38,XDB0005,PC-7966,Logoff
{F9N7-D1AY78UJ-7522VPNT},01-04-2010 09:07,FEA0006,PC-7090,Logon
{C1C6-H7AY80UU-3687HGGT},01-04-2010 13:02,FEA0006,PC-7090,Logon
{H1B3-Z7EL98OF-1820NOAV},01-04-2010 16:03,FEA0006,PC-7090,Logoff
{N7S0-B8CQ75DV-6113NNCM},01-05-2010 07:55,FEA0006,PC-7090,Logon
{S7C5-D3RO47GD-1127WLUV},01-05-2010 08:13,FEA0006,PC-7090,Logoff
{W1G5-I0OW09NP-7904UTWB},01-04-2010 08:02,MLP0007,PC-3749,Logon
{W7B9-S8AU78SI-6852DEMW},01-04-2010 19:00,MLP0007,PC-3749,Logoff
{I9X9-J7VK93ZO-3341VTWP},01-04-2010 07:37,MID0008,PC-1609,Logon
{P9W9-O1XH75JM-3977KVOE},01-04-2010 15:34,MID0008,PC-1609,Logoff
{J4E7-L7VD34UE-0417UTWC},01-04-2010 06:50,DDC0009,PC-5590,Logon
{S5X6-B7OF59JL-1975FLZU},01-04-2010 11:49,DDC0009,PC-5590,Logon
{Y9X7-K3NO79HN-2644IOCL},01-04-2010 15:53,DDC0009,PC-5590,Logoff
{S3G2-L8UV77OH-1970OHYM},01-04-2010 07:43,EPG0010,PC-9656,Logon
{D5Q0-E3UX12GQ-5541NEEH},01-04-2010 17:38,EPG0010,PC-9656,Logoff
{D1C2-F6RV38UY-1892LBSX},01-04-2010 07:59,DJW0011,PC-0263,Logon
{O8F8-U7PM89AH-4977XDEB},01-04-2010 12:27,DJW0011,PC-0263,Logon
{H5B8-Y3KK25DJ-0918AKWB},01-04-2010 19:14,DJW0011,PC-0263,Logoff
{V9M7-I5PO99JP-0446TCWR},01-04-2010 08:48,THH0012,PC-5244,Logon
{I4K0-U4UN55WT-2431VDZX},01-04-2010 14:02,THH0012,PC-5244,Logon
{T6E3-W8KL23JN-2408QFHR},01-04-2010 16:54,THH0012,PC-5244,Logoff
